cid,gender,R,F,M,k-means
2010S1260649,M,231,1,1299,0
2010S1260701,M,360,2,1820,3
2010S1260853,F,300,1,499,0
2010S1264309,F,57,3,2452,2
2010S1264505,M,141,3,1890,2
2010S1264741,F,636,1,878,1
2010S1264961,F,465,1,988,3
2010S1268177,M,220,1,980,0
2010S1269089,F,12,8,22043,2
2010S1272209,F,252,2,1860,0
2010S1276465,F,628,1,900,1
2010S1276517,F,282,1,1380,0
2010S1277225,M,575,2,2760,1
2010S1280109,F,193,3,5675,0
2010S1280373,M,657,1,988,1
2010S1280401,M,461,1,880,3
2010S1280417,F,459,1,1449,3
2010S1280421,F,292,1,1287,0
2010S1280969,F,538,1,1170,1
2010S1281301,F,493,1,1180,3
2010S1281377,F,208,1,690,0
2010S1281481,F,559,2,2760,1
2010S1288189,M,412,1,689,3
2010S1288461,M,48,9,10270,2
2010S1288497,F,23,2,2730,2
2010S1288525,F,481,2,2550,3
2010S1288641,F,145,1,1380,2
2010S1288657,F,21,4,6475,2
2010S1289045,F,614,1,1317,1
2010S1289317,M,175,1,1290,0
2010S1289433,M,564,1,1160,1
2010S1289613,M,537,1,493,1
2010S1289741,F,594,1,229,1
2010S1289881,M,22,4,4576,2
2010S1292181,F,97,1,1380,2
2010S1292201,F,437,2,2097,3
2010S1292405,F,2,2,1113,2
2010S1292653,M,33,3,6850,2
2010S1292745,M,361,1,2994,3
2010S1293213,M,49,1,980,2
2010S1296213,F,531,3,3345,1
2010S1296441,M,661,1,1160,1
2010S1296445,M,407,1,680,3
2010S1296673,F,665,1,2940,1
2010S1296753,M,334,2,1939,3
2010S1300069,F,202,1,300,0
2010S1300197,F,23,9,18570,2
2010S1300337,F,137,1,780,2
2010S1300457,F,41,3,3030,2
2010S1300505,M,86,3,8569,2
2010S1300701,M,75,4,3951,2
2010S1304089,M,231,4,5449,0
2010S1304105,M,506,1,780,1
2010S1304169,F,177,5,6639,0
2010S1304261,F,224,1,900,0
2010S1304429,M,297,1,998,0
2010S1304521,M,601,1,780,1
2010S1308225,M,455,1,998,3
2010S1308417,F,642,1,900,1
2010S1308473,F,187,1,1520,0
2010S1308709,M,341,1,2760,3
2010S1309181,M,1,10,33730,2
2010S1309349,M,376,1,1290,3
2010S1309689,F,69,3,485,2
2010S1309805,M,457,1,1080,3
2010S1312365,F,443,2,1160,3
2010S1312465,F,581,1,1380,1
2010S1312753,M,410,3,4220,3
2010S1312937,M,236,2,1434,0
2010S1317053,F,103,2,2100,2
2010S1320261,M,191,3,1907,0
2010S1320469,F,61,11,50873,2
2010S1324797,F,83,1,2520,2
2010S1324893,F,389,2,2579,3
2010S1324929,F,138,2,3920,2
2010S1325177,M,641,1,2760,1
2010S1325241,M,381,1,2318,3
2010S1604969,M,286,1,2760,0
2010S1605541,F,74,1,898,2
2010S1605897,F,286,3,1230,0
2010S1605985,M,340,2,1219,3
2010S1606117,F,666,1,289,1
2010S1606137,M,159,1,1186,0
2010S1608477,M,401,3,4157,3
2010S1608609,F,554,1,1280,1
2010S1608677,M,21,1,980,2
2010S1608729,F,234,4,3142,0
2010S1612121,M,194,2,5376,0
2010S1612349,F,642,1,2139,1
2010S1612557,M,291,4,5520,0
2010S1613233,F,131,4,4328,2
2010S1613265,M,629,1,4140,1
2010S1613509,M,233,1,1996,0
2010S1613801,M,605,1,1380,1
2010S1614137,F,324,1,1299,0
2010S1614257,M,517,1,580,1
2010S1616173,F,413,1,520,3
2010S1616289,F,20,1,1837,2
2010S1616369,F,19,6,14058,2
2010S1616645,F,49,1,539,2
2010S1616669,M,84,9,27669,2
2010S1617329,M,642,1,938,1
2010S1617413,M,259,4,6452,0
2010S1617825,F,551,1,2080,1
2010S1617949,M,612,1,689,1
2010S1618465,F,55,1,87,2
2010S1620165,M,252,1,680,0
2010S1620229,F,20,11,63810,2
2010S1620237,M,140,1,980,2
2010S1620349,M,147,2,3078,2
2010S1620457,F,184,1,1170,0
2010S1620517,F,445,1,1249,3
2010S1620701,F,544,1,690,1
2010S1620813,M,378,1,1290,3
2010S1621165,F,220,1,1290,0
2010S1621589,F,388,3,4365,3
2010S1624085,M,262,1,2994,0
2010S1624225,F,575,1,3840,1
2010S1624449,F,47,4,7984,2
2010S1624585,F,245,1,680,0
2010S1628189,F,319,3,2233,0
